,id,host_is_superhost,host_response_rate,host_response_time,host_listings_count,host_identity_verified,accommodates,neighbourhood_group_cleansed,property_type,room_type,latitude,longitude,guests_included,bathrooms,bedrooms,beds,bed_type,amenities,cleaning_fee,minimum_nights,maximum_nights,instant_bookable,cancellation_policy,price
7938,30063950,f,1,within an hour,1,t,4,Downtown,Apartment,Entire home/apt,47.59803853,-122.3330104,4,1,0,2,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""BBQ grill"",""Patio or balcony"",""Paid parking on premises""}",40,2,1125,f,moderate,120
6612,25205611,f,1,within an hour,3,f,2,Northgate,Guest suite,Private room,47.7041253,-122.3407079,1,1,1,1,Real Bed,"{Wifi,""Free parking on premises"",Heating,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Self check-in"",Keypad}",30,2,31,t,strict_14_with_grace_period,50
4007,18291975,f,1,within an hour,1292,f,5,Downtown,Apartment,Entire home/apt,47.61228635,-122.3486926,5,2,2,3,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",99,1,365,t,strict_14_with_grace_period,1002
1945,9562586,t,1,within a day,2,t,3,Other neighborhoods,House,Private room,47.68458931,-122.3593206,2,1,2,2,Real Bed,"{Wifi,""Air conditioning"",""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Hot water"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Luggage dropoff allowed"",""Long term stays allowed""}",75,2,31,f,moderate,70
8067,30540162,f,0.99,within an hour,1596,t,2,Downtown,Condominium,Entire home/apt,47.6128624,-122.3339857,1,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,""Paid parking off premises"",Gym,Elevator,""Hot tub"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Building staff"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Stove,""BBQ grill"",""Luggage dropoff allowed"",""Long term stays allowed"",""Paid parking on premises""}",49,1,1125,t,strict_14_with_grace_period,144
316,1256892,t,1,within an hour,1,t,4,Other neighborhoods,Apartment,Entire home/apt,47.6793712,-122.3569682,2,1,1,2,Futon,"{TV,Internet,Wifi,Kitchen,""Pets live on this property"",Dog(s),""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Garden or backyard"",""Lake access""}",25,2,28,t,moderate,100
7423,28214746,t,1,within an hour,1,t,2,Queen Anne,Guest suite,Entire home/apt,47.63061861,-122.3683821,1,1,1,1,Real Bed,"{Wifi,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private living room"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Single level home"",""Patio or balcony"",""Garden or backyard"",""Luggage dropoff allowed"",""Long term stays allowed"",""Well-lit path to entrance"",""Handheld shower head""}",50,1,1125,t,moderate,120
1318,6884604,f,1,within an hour,4,t,2,Central Area,House,Entire home/apt,47.60312697,-122.3006707,2,1,0,1,Real Bed,"{Internet,Wifi,Kitchen,""Free parking on premises"",""Pets allowed"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony""}",80,1,1125,t,strict_14_with_grace_period,110
4719,20330713,t,1,within an hour,9,t,4,Other neighborhoods,Bed and breakfast,Private room,47.68895253,-122.3119371,1,1,1,3,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Breakfast,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",0,1,20,t,moderate,65
3855,17791049,f,1,within an hour,3,f,2,Capitol Hill,House,Entire home/apt,47.62438568,-122.3182373,1,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Luggage dropoff allowed"",""Wide doorway"",""Flat path to front door"",""Accessible-height toilet"",""Handheld shower head"",""Full kitchen""}",45,2,21,t,moderate,110
7505,28414569,f,1,within a day,1,t,2,Other neighborhoods,Guesthouse,Entire home/apt,47.66059071,-122.289787,1,1,1,1,Real Bed,"{TV,Wifi,""Free parking on premises"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",""Self check-in"",Lockbox,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware""}",30,1,1125,f,moderate,125
4749,20429546,t,1,within an hour,7,t,3,Queen Anne,House,Private room,47.63998905,-122.3682773,1,1,1,0,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Pets live on this property"",""Free street parking"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Wide hallway clearance"",""Wide doorway"",""Step-free access"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Accessible-height toilet"",""Step-free access""}",40,2,14,f,strict_14_with_grace_period,150
6469,24755524,t,1,within an hour,1,t,6,Queen Anne,Apartment,Entire home/apt,47.63114168,-122.3696867,4,1.5,2,4,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""High chair"",""Hot water""}",100,2,1125,t,flexible,190
1285,6761267,f,0.86,within an hour,9,t,2,Central Area,House,Entire home/apt,47.60676849,-122.3134377,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Kitchen,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49""}",45,2,1125,t,moderate,90
3528,16377071,t,1,within an hour,131,f,3,Downtown,Serviced apartment,Entire home/apt,47.61757538,-122.3472116,2,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,Bathtub,""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Long term stays allowed""}",75,2,1125,t,flexible,99
3813,17624416,f,0.99,within an hour,521,f,3,Downtown,Apartment,Entire home/apt,47.60430022,-122.3371464,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",Lockbox,""Building staff"",""Private living room""}",89,2,1125,t,strict,229
7562,28609889,t,1,within an hour,4,f,2,Capitol Hill,Apartment,Entire home/apt,47.62210894,-122.3170847,1,1,0,1,Real Bed,"{TV,Wifi,Kitchen,""Pets allowed"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Patio or balcony""}",40,1,1125,t,moderate,110
7136,27210053,t,1,within an hour,10,t,2,Beacon Hill,House,Private room,47.58911753,-122.3094306,1,1.5,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Free street parking"",""Indoor fireplace"",Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",0,1,30,t,strict_14_with_grace_period,51
8094,30679785,t,1,within an hour,2,f,2,Central Area,Townhouse,Private room,47.59164205,-122.2951357,2,1,1,1,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Self check-in"",Keypad,""Private living room"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Long term stays allowed""}",20,2,30,f,strict_14_with_grace_period,90
5073,21206136,f,1,within an hour,1,f,2,Queen Anne,Townhouse,Private room,47.64486,-122.3757018,1,1,1,1,Real Bed,"{Wifi,Kitchen,Breakfast,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance""}",50,1,8,f,flexible,150
1612,7988300,f,1,within an hour,7,t,2,West Seattle,Townhouse,Private room,47.56234009,-122.3858968,1,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed""}",25,1,10,f,flexible,500
7541,28558249,t,1,within an hour,3,f,5,Queen Anne,House,Private room,47.63253917,-122.3719747,2,1.5,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Children’s books and toys"",""Hot water"",""Luggage dropoff allowed"",""Long term stays allowed""}",85,1,1125,t,flexible,150
5128,21346802,f,1,within an hour,123,f,3,Downtown,Apartment,Entire home/apt,47.6178034,-122.3544162,1,1,0,2,Real Bed,"{Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace""}",40,1,21,t,strict_14_with_grace_period,120
5995,23310068,f,0.99,within an hour,152,f,2,Downtown,Apartment,Entire home/apt,47.61012912,-122.3390353,1,1,0,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,Doorman,Gym,Elevator,""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",Essentials,Shampoo,""Self check-in"",Keypad}",75,2,1125,t,strict_14_with_grace_period,219
8203,31269313,f,1,within an hour,1,f,3,Rainier Valley,Guest suite,Entire home/apt,47.56224401,-122.289886,1,1,0,2,Real Bed,"{Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance""}",40,2,100,f,flexible,65
6335,24338048,f,1,within an hour,35,f,2,Queen Anne,Apartment,Entire home/apt,47.62480717,-122.3594986,1,1,0,1,Real Bed,"{TV,Wifi,Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Paid parking on premises""}",50,2,12,t,strict_14_with_grace_period,200
8447,32185528,f,0.99,within an hour,7,f,4,Capitol Hill,Apartment,Entire home/apt,47.61749862,-122.3115044,1,1,1,2,Real Bed,"{Wifi,Kitchen,""Paid parking off premises"",""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",Lockbox,""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",Refrigerator,""Dishes and silverware"",Oven,Stove,""Paid parking on premises""}",0,1,366,t,strict_14_with_grace_period,118
3269,15340452,t,1,within a few hours,1,f,2,Other neighborhoods,Apartment,Entire home/apt,47.68409488,-122.3432958,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Wheelchair accessible"",Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Well-lit path to entrance"",""Step-free access"",""Wide clearance to bed"",""Step-free access"",""Lake access"",""Handheld shower head"",""Fixed grab bars for shower"",""Fixed grab bars for toilet"",""Shower chair""}",69,3,30,t,strict_14_with_grace_period,105
1010,5299060,f,1,within a few hours,1,t,2,Delridge,Apartment,Entire home/apt,47.56129726,-122.3624017,1,1,1,1,Real Bed,"{TV,""Cable TV"",Wifi,Kitchen,""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Hot water"",""Long term stays allowed"",Other}",50,3,1125,f,moderate,70
7945,30084467,t,1,within an hour,4,f,2,Capitol Hill,Apartment,Entire home/apt,47.62329653,-122.3167214,1,1,0,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",""Patio or balcony""}",50,1,1125,t,moderate,150
1193,6389657,t,1,within an hour,1,t,2,Queen Anne,Apartment,Entire home/apt,47.63461628,-122.3580227,1,1,0,1,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Kitchen,""Free parking on premises"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",""Smart lock""}",30,3,1125,t,flexible,147
4965,20978960,f,1,within an hour,1,f,4,Beacon Hill,House,Entire home/apt,47.5552595,-122.3135423,2,1,2,2,Real Bed,"{TV,Wifi,Kitchen,""Free street parking"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets""}",45,1,14,t,moderate,62
4234,18943180,t,1,within an hour,3,t,4,Other neighborhoods,Apartment,Entire home/apt,47.65177833,-122.348721,2,1,1,2,Real Bed,"{TV,Internet,Wifi,Kitchen,Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",Bathtub,""Room-darkening shades""}",75,2,1125,f,flexible,79
5713,22446738,f,0.99,within an hour,1276,f,4,Downtown,Apartment,Entire home/apt,47.60724328,-122.3377956,1,1,1,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,Pool,Kitchen,Gym,Elevator,Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Pack ’n Play/travel crib"",""Hot water"",""Bed linens"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Long term stays allowed""}",99,2,1125,t,strict_14_with_grace_period,999
4666,20196666,f,1,within an hour,2,f,1,Rainier Valley,Townhouse,Private room,47.57307705,-122.2936407,1,1,1,1,Real Bed,"{TV,Wifi,Heating,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Self check-in"",Lockbox,""Private entrance"",""Hot water""}",30,3,10,f,moderate,42
6748,25727148,t,1,within an hour,1,f,4,Central Area,Guest suite,Entire home/apt,47.5972146,-122.2881313,2,1,1,2,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",""Smart lock"",""Private entrance"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",""Ethernet connection"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove}",75,1,21,f,moderate,79
2664,13273883,t,1,within an hour,1,t,4,Magnolia,Guest suite,Entire home/apt,47.65730397,-122.3901447,2,1,0,3,Real Bed,"{TV,Wifi,Kitchen,""Free parking on premises"",""Free street parking"",Heating,""Family/kid friendly"",""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",""Children’s books and toys"",""Pack ’n Play/travel crib"",""Room-darkening shades"",""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Luggage dropoff allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Disabled parking spot"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Accessible-height bed"",""Step-free access"",""Step-free access"",""Wide entryway"",""Handheld shower head"",""Heated floors"",""Smart TV"",""Breakfast table"",Netflix,""Bedroom comforts"",""Bathroom essentials"",""Roll-in shower""}",50,2,60,f,moderate,85
5242,21566209,f,1,within an hour,1,f,1,Other neighborhoods,Townhouse,Private room,47.65253584,-122.3557533,1,1,1,1,Real Bed,"{TV,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",Breakfast,""Indoor fireplace"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""BBQ grill"",""Patio or balcony"",""Garden or backyard"",""Flat path to front door"",""Well-lit path to entrance""}",50,2,1125,t,strict_14_with_grace_period,75
194,677266,t,1,within a few hours,7,t,2,Other neighborhoods,Apartment,Private room,47.54948235,-122.3177878,1,3,1,1,Real Bed,"{Internet,Wifi,""Air conditioning"",Kitchen,""Free parking on premises"",""Pets live on this property"",Dog(s),""Free street parking"",""Buzzer/wireless intercom"",Heating,Washer,Dryer,""Smoke detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Hot water"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""Patio or balcony"",""Long term stays allowed"",""Host greets you"",""Paid parking on premises""}",10,2,60,f,moderate,65
630,3273240,t,1,within an hour,3,t,2,Downtown,Loft,Entire home/apt,47.60056684,-122.3343051,2,1,0,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",Kitchen,""Paid parking off premises"",""Free street parking"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50"",""Self check-in"",Keypad,""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",""Coffee maker"",""Bedroom comforts"",""Bathroom essentials""}",80,2,120,t,strict_14_with_grace_period,142
3251,15270512,t,1,within an hour,9,t,3,Queen Anne,Apartment,Entire home/apt,47.62405698,-122.3576432,2,1,1,1,Real Bed,"{TV,Internet,Wifi,""Air conditioning"",""Wheelchair accessible"",Kitchen,""Free parking on premises"",""Pets allowed"",Breakfast,Elevator,""Buzzer/wireless intercom"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Lockbox,""Private entrance"",Bathtub,""Hot water"",""Body soap"",""Bath towel"",""Toilet paper"",""Bed linens"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Cooking basics"",Oven,Stove,""BBQ grill"",""Patio or balcony"",""Long term stays allowed"",""Wide hallway clearance"",""Step-free access"",""Wide doorway"",""Flat path to front door"",""Well-lit path to entrance"",""Step-free access"",""Wide doorway"",""Wide clearance to bed"",""Step-free access"",""Step-free access"",""Smart TV"",""Rain shower"",Netflix,""Full kitchen"",""Bedroom comforts"",""Bathroom essentials""}",55,1,30,t,moderate,140
7121,27144007,f,1,within an hour,1,t,1,Central Area,Townhouse,Private room,47.61282962,-122.3000623,1,1,1,1,Real Bed,"{Wifi,Kitchen,""Indoor fireplace"",Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Self check-in"",Keypad}",15,1,1125,f,moderate,70
6609,25203922,f,1,within an hour,3,f,4,Northgate,Guesthouse,Entire home/apt,47.70339712,-122.3412373,1,1,2,2,Real Bed,"{Wifi,Heating,""Smoke detector"",""Carbon monoxide detector"",""Fire extinguisher"",Essentials,Shampoo,Hangers,""Hair dryer"",""Laptop friendly workspace"",""Self check-in"",Keypad,""Private entrance"",""Hot water"",""Extra pillows and blankets"",Microwave,""Coffee maker"",Refrigerator,Dishwasher,""Dishes and silverware"",""Long term stays allowed""}",60,2,31,t,strict_14_with_grace_period,100
242,902243,t,0.97,within a few hours,4,t,7,Downtown,Condominium,Entire home/apt,47.61596881,-122.3450891,1,2,2,2,Real Bed,"{TV,""Cable TV"",Internet,Wifi,""Air conditioning"",Pool,Kitchen,""Free parking on premises"",Gym,Elevator,""Hot tub"",Heating,""Family/kid friendly"",Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",Essentials,Shampoo,""24-hour check-in"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""High chair"",""Pack ’n Play/travel crib"",""Hot water"",""Long term stays allowed"",""Host greets you""}",115,1,1125,f,strict_14_with_grace_period,200
7462,28309197,f,0.95,within an hour,84,f,5,Cascade,Apartment,Entire home/apt,47.62593034,-122.3297628,1,1,1,3,Real Bed,"{TV,Wifi,Kitchen,Gym,Elevator,Heating,Washer,Dryer,""Smoke detector"",""Carbon monoxide detector"",""First aid kit"",""Safety card"",""Fire extinguisher"",Essentials,""Lock on bedroom door"",Hangers,""Hair dryer"",Iron,""Laptop friendly workspace"",""Private entrance"",""Hot water"",""Host greets you""}",79,1,1125,t,strict_14_with_grace_period,199
