"id","host_response_time","host_response_rate","host_is_superhost","host_identity_verified","host_listings_count","neighbourhood_group_cleansed","room_type","guests_included","accommodates","bathrooms","bedrooms","beds","bed_type","price","cleaning_fee","minimum_nights","instant_bookable","cancellation_policy","review_scores_rating","num_amenities","total_nearby_landmarks"
20990102,"within a few hours",1,"t","f",3,"Rainier Valley","Private room",1,4,1,1,1,"Real Bed",50,20,2,"t","flexible",1,24,0
14981688,"within an hour",1,"t","f",131,"Queen Anne","Entire home/apt",2,3,1,1,1,"Real Bed",99,75,2,"t","flexible",1,37,4
25982024,"within an hour",1,"f","t",1,"West Seattle","Entire home/apt",2,2,1,0,1,"Real Bed",100,50,2,"t","flexible",1,33,0
18673405,"within an hour",1,"t","t",7,"Central Area","Entire home/apt",12,5,1,2,3,"Real Bed",175,140,2,"t","moderate",1,48,0
21460781,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,3,1,1,2,"Real Bed",75,20,1,"t","flexible",1,28,3
4593740,"within an hour",0.92,"f","t",4,"Downtown","Entire home/apt",3,4,1,1,2,"Real Bed",99,65,2,"t","strict_14_with_grace_period",1,48,5
30114679,"within an hour",1,"f","f",1,"Magnolia","Entire home/apt",1,3,1,1,2,"Real Bed",175,30,2,"f","strict_14_with_grace_period",1,24,0
15343482,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1,1,1,"Real Bed",199,75,2,"t","strict_14_with_grace_period",1,19,5
15681358,"within an hour",1,"t","t",2,"Rainier Valley","Entire home/apt",4,5,1,2,2,"Real Bed",99,85,2,"t","flexible",1,20,0
22422276,"within an hour",1,"t","t",1,"West Seattle","Entire home/apt",6,10,2,4,8,"Real Bed",320,120,2,"f","moderate",1,53,0
19893618,"within an hour",1,"t","f",1,"Seward Park","Entire home/apt",2,4,1,2,2,"Real Bed",73,35,1,"t","flexible",1,51,0
31365186,"within an hour",1,"f","f",1,"Capitol Hill","Entire home/apt",2,5,1,2,3,"Real Bed",130,65,1,"t","moderate",1,20,0
1983713,"within an hour",1,"t","t",4,"Rainier Valley","Entire home/apt",1,3,1,1,1,"Real Bed",80,100,6,"f","strict_14_with_grace_period",1,21,0
9579441,"within an hour",1,"t","t",3,"Capitol Hill","Entire home/apt",2,2,1,1,1,"Real Bed",125,65,1,"f","moderate",1,36,0
18138913,"within an hour",1,"t","f",7,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",35,45,1,"t","strict_14_with_grace_period",1,40,0
13927249,"within an hour",1,"t","f",6,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",199,50,1,"t","flexible",1,38,0
31321961,"within an hour",1,"t","f",4,"Other neighborhoods","Private room",1,1,1,1,1,"Real Bed",50,20,1,"f","flexible",1,41,0
12584274,"within an hour",1,"t","t",4,"West Seattle","Entire home/apt",2,2,1,0,1,"Pull-out Sofa",95,40,1,"f","moderate",1,28,0
30593987,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",119,89,2,"t","strict",1,21,5
22454586,"within an hour",1,"t","f",5,"Queen Anne","Entire home/apt",1,6,1.5,2,2,"Real Bed",139,99,1,"f","strict_14_with_grace_period",1,24,0
2847177,"within an hour",0.92,"f","t",51,"University District","Entire home/apt",1,3,1,0,1,"Real Bed",89,65,1,"f","moderate",0,19,0
28671142,"within an hour",1,"t","f",2,"Beacon Hill","Private room",1,2,1.5,1,1,"Real Bed",50,35,1,"t","moderate",1,31,0
19249930,"within an hour",1,"t","f",2,"Lake City","Shared room",1,1,1,1,1,"Real Bed",44,5,2,"t","flexible",1,23,0
6202214,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,2,1,1,2,"Real Bed",134,60,3,"f","strict_14_with_grace_period",1,36,0
23555082,"within an hour",0.99,"f","f",647,"Capitol Hill","Entire home/apt",1,4,1,1,2,"Real Bed",70,90,1,"t","strict_14_with_grace_period",0,40,0
10341497,"within an hour",1,"f","f",2,"Rainier Valley","Entire home/apt",2,2,1,1,1,"Real Bed",118,59,3,"f","moderate",1,27,0
24658653,"within an hour",1,"t","t",7,"West Seattle","Entire home/apt",1,2,1,1,1,"Real Bed",89,95,2,"f","moderate",1,21,0
23983021,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,0,1,"Real Bed",139,89,2,"t","strict",1,24,5
18777766,"within an hour",1,"f","t",5,"Capitol Hill","Entire home/apt",2,3,1,0,1,"Real Bed",128,0,2,"f","moderate",1,31,2
25643461,"within an hour",1,"f","f",123,"Downtown","Entire home/apt",1,5,1,0,3,"Real Bed",100,40,1,"t","strict_14_with_grace_period",0,14,3
30880820,"within an hour",1,"f","f",1,"Central Area","Entire home/apt",1,2,1,1,1,"Real Bed",75,35,3,"t","moderate",1,41,0
11337213,"within an hour",1,"t","t",1,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",95,40,2,"t","moderate",1,30,0
10928344,"within an hour",1,"t","t",4,"Beacon Hill","Private room",1,2,1,1,1,"Real Bed",45,20,2,"f","moderate",1,29,0
18673684,"within an hour",1,"t","t",7,"Central Area","Entire home/apt",14,12,2,4,7,"Real Bed",725,225,2,"t","strict_14_with_grace_period",1,41,0
30509888,"within an hour",1,"f","f",1,"University District","Private room",1,2,1,1,1,"Real Bed",60,15,3,"t","flexible",1,15,0
5919096,"within an hour",1,"f","t",1,"Ballard","Entire home/apt",1,4,1,1,0,"Real Bed",129,85,5,"f","strict_14_with_grace_period",1,21,0
18213259,"within an hour",1,"t","t",4,"Queen Anne","Entire home/apt",1,3,1,1,2,"Real Bed",99,50,3,"t","strict_14_with_grace_period",1,36,0
27547511,"within a few hours",1,"t","f",2,"Northgate","Entire home/apt",4,4,1,2,2,"Real Bed",190,50,1,"t","flexible",1,20,0
21408065,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1,1,1,"Real Bed",144,75,3,"t","strict_14_with_grace_period",1,18,1
25789118,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,0,1,"Real Bed",109,89,2,"t","strict",1,21,5
22777022,"a few days or more",0,"f","t",1,"Ballard","Entire home/apt",2,4,1,1,3,"Real Bed",115,85,2,"t","strict_14_with_grace_period",1,41,0
24304480,"within an hour",1,"t","f",1,"Central Area","Entire home/apt",2,3,1,1,2,"Real Bed",65,40,2,"f","moderate",1,32,0
11127133,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",2,2,1,1,1,"Real Bed",150,75,30,"f","strict_14_with_grace_period",1,16,4
29031829,"within an hour",1,"t","f",31,"Queen Anne","Entire home/apt",4,6,1,2,2,"Real Bed",168,130,2,"t","strict_14_with_grace_period",0,34,1
27755374,"within an hour",1,"f","f",2,"Rainier Valley","Entire home/apt",1,6,1,2,2,"Real Bed",111,85,1,"t","strict_14_with_grace_period",1,30,0
24695469,"within a day",1,"t","t",1,"West Seattle","Entire home/apt",6,6,2,3,4,"Real Bed",275,175,3,"f","moderate",1,36,0
19222993,"within an hour",0.9,"f","t",2,"Other neighborhoods","Entire home/apt",4,4,1,1,2,"Real Bed",89,40,1,"f","flexible",1,43,0
11549328,"within an hour",1,"t","f",1,"Ballard","Entire home/apt",2,4,1,1,2,"Real Bed",85,65,3,"f","strict_14_with_grace_period",1,26,0
14410216,"within an hour",0.92,"f","t",51,"University District","Entire home/apt",1,2,1,1,1,"Real Bed",87,60,2,"f","moderate",0,19,0
22825488,"within an hour",1,"f","f",50,"Other neighborhoods","Entire home/apt",4,4,1,2,2,"Real Bed",109,243,2,"t","super_strict_30",0,20,0
15160598,"within an hour",1,"t","t",1,"Rainier Valley","Entire home/apt",1,4,1,0,2,"Real Bed",70,60,1,"t","moderate",1,49,0
17624125,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",4,5,2,3,2,"Real Bed",420,159,2,"t","strict",1,27,3
24696360,"within an hour",1,"t","f",131,"Cascade","Entire home/apt",1,2,1,1,1,"Real Bed",150,75,2,"t","flexible",0,40,2
13548374,"within an hour",1,"t","t",2,"Downtown","Entire home/apt",4,5,1,1,4,"Real Bed",199,90,3,"t","strict_14_with_grace_period",1,42,3
16822666,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",4,4,2,2,2,"Real Bed",179,120,3,"t","strict_14_with_grace_period",1,18,1
16807983,"within an hour",1,"t","t",3,"Other neighborhoods","Entire home/apt",1,8,3,4,5,"Real Bed",349,200,3,"f","strict_14_with_grace_period",1,30,0
16453524,"within an hour",1,"t","t",1,"Cascade","Entire home/apt",2,2,1,1,1,"Real Bed",129,58,1,"f","strict_14_with_grace_period",1,22,2
15859042,"within an hour",1,"f","f",1,"Downtown","Entire home/apt",2,3,1,0,2,"Real Bed",115,65,1,"f","moderate",1,18,5
11043911,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",1,5,2,2,3,"Real Bed",175,60,2,"t","moderate",1,38,0
16645671,"within an hour",1,"t","f",6,"Downtown","Entire home/apt",2,4,1,1,1,"Real Bed",199,60,1,"f","strict_14_with_grace_period",1,37,5
25457326,"within an hour",1,"t","f",1,"Central Area","Private room",1,2,1,1,1,"Real Bed",80,10,2,"f","moderate",1,30,0
19699462,"within an hour",1,"t","f",1,"Capitol Hill","Entire home/apt",2,4,1,2,2,"Real Bed",70,40,1,"t","flexible",1,31,0
31438300,"within an hour",0.94,"f","f",5,"Downtown","Entire home/apt",1,2,1,1,1,"Real Bed",95,65,1,"t","strict_14_with_grace_period",0,16,5
9512909,"within an hour",1,"f","t",1,"Central Area","Entire home/apt",2,3,1,1,3,"Real Bed",77,89,1,"t","flexible",1,32,0
15485238,"within a few hours",1,"t","f",2,"West Seattle","Private room",1,1,1,1,1,"Real Bed",40,0,1,"f","strict_14_with_grace_period",1,31,0
24561301,"within an hour",1,"f","t",2,"Queen Anne","Entire home/apt",4,4,1,2,2,"Real Bed",90,50,3,"t","strict_14_with_grace_period",1,26,1
21380854,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",2,4,1,1,0,"Real Bed",69,40,2,"t","moderate",1,30,0
24698751,"within an hour",1,"f","t",19,"Central Area","Entire home/apt",6,14,2,2,7,"Real Bed",1129,225,30,"t","strict_14_with_grace_period",1,58,0
21445585,"within an hour",1,"t","f",3,"West Seattle","Entire home/apt",4,6,1,2,4,"Real Bed",93,89,1,"f","moderate",1,39,0
15537773,"within an hour",1,"t","t",4,"Queen Anne","Entire home/apt",3,5,1,2,3,"Real Bed",125,85,3,"t","strict_14_with_grace_period",1,55,0
17815115,"within an hour",1,"t","t",3,"Capitol Hill","Private room",2,4,2,1,3,"Real Bed",58,35,1,"f","moderate",1,54,0
19052688,"within a day",1,"f","f",1,"Rainier Valley","Entire home/apt",1,2,1,0,1,"Real Bed",80,40,2,"t","moderate",1,25,0
5364580,"within a few hours",1,"t","t",1,"Delridge","Entire home/apt",6,6,2,3,3,"Real Bed",220,80,2,"f","moderate",1,60,0
17046171,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",229,89,2,"t","strict",0,25,6
23060857,"within an hour",1,"t","t",3,"Ballard","Private room",1,2,1,1,1,"Real Bed",99,0,2,"f","flexible",1,28,0
24996483,"within an hour",1,"f","t",8,"Capitol Hill","Private room",1,2,2,1,1,"Real Bed",85,35,2,"t","moderate",1,16,0
25371191,"within an hour",1,"f","f",1,"Cascade","Entire home/apt",1,4,2,2,2,"Real Bed",172,150,2,"f","strict_14_with_grace_period",1,36,0
26789767,"within an hour",1,"f","f",123,"Cascade","Entire home/apt",1,2,1,0,1,"Real Bed",100,50,1,"t","strict_14_with_grace_period",1,11,1
15436083,"within an hour",1,"t","t",4,"Queen Anne","Private room",2,4,1,1,2,"Real Bed",68,61,2,"t","moderate",1,39,1
3890990,"within an hour",0.97,"f","t",14,"Other neighborhoods","Entire home/apt",7,7,1,2,4,"Real Bed",175,75,1,"t","strict_14_with_grace_period",0,28,0
27806095,"within an hour",1,"t","f",1,"Beacon Hill","Entire home/apt",3,6,1,3,3,"Real Bed",99,50,1,"t","flexible",1,23,0
3489837,"within a day",1,"f","t",3,"Other neighborhoods","Entire home/apt",2,2,1,1,2,"Real Bed",110,80,30,"f","strict_14_with_grace_period",1,18,0
15817305,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",4,5,1,3,3,"Real Bed",125,100,2,"f","moderate",1,49,0
25344428,"within a day",1,"f","f",1,"Delridge","Entire home/apt",2,2,1,1,1,"Real Bed",175,40,2,"f","flexible",0,37,0
16815738,"within a few hours",1,"t","t",1,"Other neighborhoods","Private room",1,1,1,1,1,"Real Bed",23,0,4,"f","strict_14_with_grace_period",1,27,0
9979329,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",4,5,2,2,2,"Real Bed",185,136,2,"f","strict_14_with_grace_period",1,19,3
18291977,"within an hour",1,"f","f",1292,"Downtown","Entire home/apt",5,5,2,2,3,"Real Bed",1002,99,1,"t","strict_14_with_grace_period",1,20,5
18510376,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",1,12,2,3,3,"Real Bed",478,150,3,"f","moderate",1,45,0
24037284,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",1,2,1,1,1,"Real Bed",110,50,1,"f","moderate",1,35,0
25338089,"within an hour",1,"t","t",2,"Downtown","Entire home/apt",1,4,1,1,2,"Real Bed",190,100,1,"t","flexible",1,26,5
12265836,"within an hour",1,"t","t",2,"Seward Park","Entire home/apt",1,2,1,1,1,"Real Bed",89,25,2,"t","moderate",1,50,0
12378099,"within an hour",1,"f","f",123,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",50,20,1,"t","strict_14_with_grace_period",0,18,0
18485076,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,1,"Real Bed",129,60,2,"t","strict_14_with_grace_period",1,53,0
1773803,"within an hour",1,"f","t",2,"University District","Entire home/apt",2,6,1,1,1,"Real Bed",89,25,1,"f","strict_14_with_grace_period",0,13,0
6314486,"within a day",0.75,"f","t",1,"Capitol Hill","Entire home/apt",1,2,1,1,1,"Real Bed",98,80,30,"f","strict_14_with_grace_period",1,26,0
14524187,"within an hour",1,"f","f",1,"Queen Anne","Entire home/apt",1,2,1,1,1,"Real Bed",175,0,2,"f","flexible",1,16,1
14696993,"within an hour",1,"t","f",2,"Other neighborhoods","Entire home/apt",2,2,1,1,1,"Real Bed",59,60,2,"t","moderate",1,31,0
24338048,"within an hour",1,"f","f",35,"Queen Anne","Entire home/apt",1,2,1,0,1,"Real Bed",200,50,2,"t","strict_14_with_grace_period",1,21,3
286080,"within an hour",1,"t","t",42,"Downtown","Entire home/apt",1,6,2,2,3,"Real Bed",144,130,2,"f","strict_14_with_grace_period",1,31,5
2187615,"within an hour",0.99,"f","f",1276,"Downtown","Entire home/apt",1,3,1,1,2,"Real Bed",349,99,2,"t","strict_14_with_grace_period",0,35,5
21008151,"within an hour",1,"f","f",100,"Downtown","Entire home/apt",1,3,1,1,1,"Real Bed",195,60,2,"t","strict_14_with_grace_period",0,32,1
20899115,"within an hour",1,"t","f",1,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",85,0,1,"t","moderate",1,23,0
1950012,"within an hour",1,"f","t",1,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",50,0,1,"f","flexible",1,7,0
21148583,"within a day",1,"t","f",2,"Seward Park","Entire home/apt",2,2,1,1,1,"Real Bed",186,75,25,"f","moderate",0,41,0
18710230,"within an hour",1,"t","f",3,"West Seattle","Entire home/apt",4,6,1,2,4,"Real Bed",100,89,1,"f","moderate",1,42,0
7630155,"within an hour",1,"t","t",4,"Beacon Hill","Private room",2,3,1.5,1,1,"Real Bed",117,25,2,"f","moderate",1,43,0
28466540,"within an hour",1,"t","f",11,"Downtown","Entire home/apt",6,6,2,2,3,"Real Bed",250,125,2,"t","flexible",1,48,3
20863673,"within an hour",1,"f","t",7,"Queen Anne","Entire home/apt",1,2,1,1,1,"Real Bed",135,55,1,"t","strict_14_with_grace_period",1,22,4
28056091,"within an hour",1,"f","f",1,"Rainier Valley","Private room",1,2,1,1,1,"Real Bed",80,50,2,"f","moderate",1,41,0
11890234,"within an hour",1,"t","t",2,"Downtown","Entire home/apt",2,4,1,1,2,"Real Bed",140,65,3,"f","strict_14_with_grace_period",1,30,5
20943682,"within an hour",1,"t","f",1,"Beacon Hill","Entire home/apt",1,4,1,1,2,"Real Bed",104,65,1,"t","moderate",1,35,0
28220417,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,4,1,1,2,"Real Bed",98,100,2,"t","strict_14_with_grace_period",1,38,3
8515408,"within an hour",1,"f","t",1,"Queen Anne","Entire home/apt",1,2,1,0,1,"Real Bed",125,50,2,"f","moderate",1,36,1
24922789,"within an hour",1,"t","t",2,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",100,25,1,"t","moderate",1,21,0
8051134,"within a day",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,4,1,1,2,"Real Bed",65,30,2,"f","strict_14_with_grace_period",1,36,0
16220121,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",229,89,2,"t","strict",1,27,3
21440409,"within a few hours",1,"f","t",57,"Capitol Hill","Shared room",1,1,1.5,1,1,"Real Bed",39,75,4,"f","strict_14_with_grace_period",1,21,0
2215336,"within an hour",1,"t","t",6,"Other neighborhoods","Entire home/apt",1,5,1,2,2,"Real Bed",150,75,3,"f","strict_14_with_grace_period",1,29,0
3906076,"within an hour",1,"t","t",1,"Downtown","Entire home/apt",2,2,1,1,1,"Real Bed",130,50,3,"t","moderate",1,23,3
21511283,"within an hour",1,"f","f",7,"Northgate","Entire home/apt",6,11,2.5,3,5,"Real Bed",300,90,1,"t","strict_14_with_grace_period",1,40,0
20285652,"within an hour",1,"t","f",1,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",80,20,1,"t","flexible",1,28,3
17093598,"within an hour",1,"t","f",131,"Capitol Hill","Entire home/apt",2,3,1,1,1,"Real Bed",150,75,2,"f","moderate",1,33,3
29538256,"within an hour",1,"f","f",7,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",40,40,1,"t","flexible",1,14,0
29966894,"within an hour",1,"t","f",4,"Rainier Valley","Entire home/apt",2,5,1,1,1,"Real Bed",75,50,1,"t","flexible",1,18,0
31026273,"within an hour",1,"t","t",1,"Other neighborhoods","Private room",1,2,1,0,1,"Real Bed",65,10,2,"f","moderate",1,16,0
2187906,"within an hour",1,"t","t",1,"Other neighborhoods","Private room",1,2,0.5,1,1,"Real Bed",40,0,1,"f","flexible",1,12,0
20405820,"within an hour",1,"f","f",3,"Central Area","Entire home/apt",2,2,1,0,1,"Real Bed",160,40,1,"t","moderate",0,30,0
13437692,"within an hour",1,"t","t",2,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",84,25,2,"t","moderate",1,34,2
17184477,"within an hour",0.98,"f","f",20,"Downtown","Entire home/apt",1,4,1,1,2,"Real Bed",152,82,1,"t","strict_14_with_grace_period",0,32,5
9231524,"within an hour",1,"t","f",5,"Cascade","Entire home/apt",1,4,1.5,1,1,"Real Bed",169,99,1,"f","strict_14_with_grace_period",1,46,3
12572643,"within an hour",1,"t","t",1,"Central Area","Private room",1,2,1,1,1,"Real Bed",59,19,3,"f","strict_14_with_grace_period",1,39,0
24395100,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,14,3.5,7,8,"Real Bed",550,300,2,"t","strict_14_with_grace_period",1,35,1
23527657,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",2,2,1,1,1,"Real Bed",95,45,2,"t","moderate",1,25,0
17465443,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1.5,1,1,"Real Bed",219,89,2,"f","strict_14_with_grace_period",1,23,1
430610,"within an hour",1,"t","t",7,"Other neighborhoods","Entire home/apt",7,8,3,3,4,"Real Bed",259,99,5,"f","moderate",1,33,0
13140719,"within a day",1,"t","f",1,"Other neighborhoods","Entire home/apt",2,2,1,1,1,"Real Bed",95,65,2,"f","moderate",1,38,0
27702651,"within an hour",1,"f","f",123,"Downtown","Entire home/apt",1,5,1,0,3,"Real Bed",120,40,1,"t","strict_14_with_grace_period",0,7,5
13361328,"within an hour",1,"t","t",1,"Other neighborhoods","Entire home/apt",4,5,1,2,4,"Real Bed",149,0,3,"t","moderate",1,42,0
24894772,"within a few hours",1,"f","t",1,"Queen Anne","Private room",1,2,1,1,1,"Real Bed",66,30,1,"f","strict_14_with_grace_period",1,19,0
13785835,"within a few hours",1,"f","t",57,"University District","Shared room",1,1,3.5,1,1,"Real Bed",45,75,3,"f","strict_14_with_grace_period",0,22,0
4464110,"within a day",1,"f","t",1,"Lake City","Entire home/apt",1,4,1,1,2,"Real Bed",89,0,1,"f","flexible",1,45,0
26964476,"within an hour",1,"f","t",19,"Ballard","Entire home/apt",4,10,1,2,5,"Real Bed",472,169,1,"t","super_strict_60",1,38,0
20692613,"within an hour",1,"t","t",1,"Lake City","Entire home/apt",1,2,1,1,2,"Real Bed",130,75,2,"t","moderate",1,33,0
3535171,"within an hour",1,"t","t",2,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",45,25,1,"f","strict_14_with_grace_period",1,33,0
25221855,"within an hour",1,"f","f",50,"Other neighborhoods","Entire home/apt",6,6,2,3,6,"Real Bed",169,328,2,"t","super_strict_30",0,22,0
20626196,"within an hour",1,"t","f",10,"Capitol Hill","Entire home/apt",2,3,1,1,2,"Real Bed",200,50,1,"t","moderate",1,30,2
30421999,"within an hour",1,"f","f",50,"Downtown","Entire home/apt",4,4,1,1,2,"Real Bed",117,198,2,"t","super_strict_30",1,23,5
24761125,"within an hour",1,"t","f",131,"Cascade","Entire home/apt",1,2,1,1,1,"Real Bed",450,75,2,"t","flexible",1,40,2
16288535,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,4,1,2,2,"Real Bed",131,70,2,"t","moderate",1,26,0
16519148,"within an hour",1,"t","f",1,"Other neighborhoods","Entire home/apt",4,4,1,0,2,"Real Bed",150,50,2,"t","strict_14_with_grace_period",1,24,0
24809443,"within an hour",1,"t","t",2,"Other neighborhoods","Entire home/apt",4,4,1,2,2,"Real Bed",148,85,2,"f","strict_14_with_grace_period",1,55,0
16602857,"within an hour",1,"t","t",1,"Lake City","Entire home/apt",8,10,2.5,4,7,"Real Bed",300,195,3,"t","strict_14_with_grace_period",1,52,0
15550339,"within an hour",1,"t","t",1,"University District","Entire home/apt",4,7,1,2,4,"Real Bed",218,60,2,"t","strict_14_with_grace_period",1,67,0
17123205,"within an hour",1,"t","t",5,"Other neighborhoods","Entire home/apt",1,2,1,1,2,"Real Bed",59,70,2,"t","strict_14_with_grace_period",1,34,0
20553784,"within an hour",1,"t","t",3,"Ballard","Entire home/apt",8,8,1,4,4,"Real Bed",500,200,1,"t","moderate",1,35,0
27986270,"within an hour",1,"f","f",2,"Rainier Valley","Entire home/apt",4,4,1.5,2,2,"Real Bed",60,80,3,"f","moderate",0,21,0
8486896,"within a few hours",1,"f","t",3,"Seward Park","Private room",1,2,1,1,1,"Real Bed",57,45,5,"f","strict_14_with_grace_period",1,29,0
21826395,"within an hour",1,"t","t",2,"West Seattle","Entire home/apt",1,6,1,2,2,"Real Bed",85,100,2,"t","moderate",1,37,0
22486602,"within an hour",1,"t","t",4,"Beacon Hill","Private room",1,2,1,1,1,"Real Bed",35,20,2,"t","moderate",1,17,0
19786036,"within an hour",0.99,"f","f",81,"Downtown","Entire home/apt",4,4,1,1,2,"Real Bed",112,115,1,"t","super_strict_30",0,25,5
20365653,"within a few hours",1,"t","t",1,"Downtown","Entire home/apt",1,4,1,0,1,"Real Bed",110,10,1,"f","flexible",1,33,3
8517235,"within an hour",1,"f","f",1,"Downtown","Entire home/apt",1,2,1,1,1,"Real Bed",245,20,2,"f","moderate",1,9,5
17302155,"within an hour",0.99,"f","f",521,"Downtown","Entire home/apt",2,3,1,1,1,"Real Bed",229,89,2,"t","strict",1,17,5
29006435,"within an hour",1,"t","f",3,"Other neighborhoods","Private room",1,2,1,1,1,"Real Bed",60,25,1,"t","moderate",1,19,0
760471,"within an hour",1,"f","t",1,"West Seattle","Entire home/apt",2,3,2.5,1,2,"Real Bed",90,85,7,"f","strict_14_with_grace_period",1,38,0
14475174,"within an hour",1,"f","f",40,"Capitol Hill","Private room",1,2,1,0,1,"Real Bed",59,0,1,"t","moderate",1,23,0
31690879,"within an hour",1,"f","f",1,"Ballard","Private room",1,4,1,2,2,"Real Bed",90,10,1,"t","flexible",1,10,0
11674535,"within an hour",0.9,"t","f",3,"Other neighborhoods","Entire home/apt",1,4,1,1,2,"Real Bed",135,60,2,"t","strict_14_with_grace_period",1,45,0
20820051,"within an hour",1,"f","f",1,"West Seattle","Entire home/apt",3,4,1,1,1,"Real Bed",145,40,2,"t","moderate",1,35,0
23902831,"within an hour",1,"f","f",2,"Ballard","Entire home/apt",4,6,1,1,3,"Real Bed",130,45,2,"t","moderate",1,28,0
22913000,"within an hour",0.99,"f","f",152,"Downtown","Entire home/apt",1,2,1,1,1,"Real Bed",150,75,30,"f","strict_14_with_grace_period",1,13,3
27342729,"within an hour",1,"t","f",1,"Queen Anne","Entire home/apt",1,2,1,1,1,"Real Bed",125,30,1,"f","flexible",1,34,1
16113811,"within a few hours",1,"f","t",3,"Cascade","Entire home/apt",2,3,2,2,3,"Real Bed",75,75,1,"f","strict_14_with_grace_period",1,17,0
136480,"within a few hours",1,"f","t",2,"Seward Park","Private room",1,2,1,1,1,"Real Bed",85,25,2,"f","flexible",1,13,0
604600,"within a day",0.74,"f","t",129,"Downtown","Entire home/apt",1,4,1,1,2,"Real Bed",210,50,1,"f","strict_14_with_grace_period",1,27,4
7985714,"within a few hours",1,"f","t",57,"Other neighborhoods","Shared room",1,1,3.5,1,1,"Real Bed",38,75,4,"f","strict_14_with_grace_period",1,25,0
26783184,"within an hour",0.99,"f","f",81,"Ballard","Entire home/apt",7,7,2.5,3,4,"Real Bed",155,195,1,"t","super_strict_30",1,24,0
20886422,"within an hour",1,"f","f",1,"Beacon Hill","Entire home/apt",2,4,1,1,1,"Real Bed",100,95,2,"t","moderate",1,31,0
11498207,"within an hour",1,"t","t",1,"Beacon Hill","Entire home/apt",1,2,1,1,1,"Real Bed",119,50,3,"f","moderate",1,57,0
19438205,"within a day",1,"f","f",1,"Magnolia","Entire home/apt",6,8,3,4,4,"Real Bed",900,400,6,"f","strict_14_with_grace_period",1,37,0
27809933,"within an hour",0.95,"f","f",84,"Central Area","Entire home/apt",1,2,1,0,1,"Real Bed",99,49,1,"t","strict_14_with_grace_period",0,21,0
5686435,"within an hour",1,"t","t",1,"Queen Anne","Entire home/apt",1,8,2.5,3,4,"Real Bed",445,250,3,"f","strict_14_with_grace_period",1,16,1
4364624,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",2,4,1,0,1,"Real Bed",100,40,2,"t","strict_14_with_grace_period",1,40,0
2614387,"within an hour",1,"t","f",2,"Other neighborhoods","Private room",2,2,1,1,1,"Real Bed",69,25,2,"f","moderate",1,35,0
24893567,"within an hour",1,"t","t",1,"Central Area","Entire home/apt",2,2,1,0,1,"Real Bed",100,35,1,"t","moderate",1,29,0
31622679,"within an hour",1,"f","f",4,"Rainier Valley","Entire home/apt",2,2,1,0,1,"Real Bed",120,50,1,"t","moderate",1,17,0
26496748,"within an hour",1,"f","f",1,"West Seattle","Private room",1,2,1,1,1,"Real Bed",75,20,1,"t","flexible",1,34,0
26326464,"within an hour",1,"t","f",1,"West Seattle","Entire home/apt",2,2,1,1,2,"Real Bed",110,40,1,"f","flexible",1,34,0
